dv_name,region,subj_cond,mu,sigma,iter,bf_10
tgdur,6,MIS,0,1,2,0.015862372139806725
tgdur,6,MIS,0,1,3,0.016033056355424374
tgdur,6,MIS,0,1,4,0.015798952752625318
tgdur,6,MIS,0,1,5,0.014434490114706638
tgdur,6,MIS,0,0.1,1,0.1534282733374584
tgdur,6,MIS,0,0.1,2,0.1554503009562595
tgdur,6,MIS,0,0.1,3,0.1485518202870155
tgdur,6,MIS,0,0.1,4,0.15573403929434326
tgdur,6,MIS,0,0.1,5,0.15770521161325382
tgdur,6,MIS,0,0.03,1,0.45008283739917593
tgdur,6,MIS,0,0.03,2,0.43325042266565
tgdur,6,MIS,0,0.03,3,0.43326839590111393
tgdur,6,MIS,0,0.03,4,0.4714770469106929
tgdur,6,MIS,0,0.03,5,0.46194535917430957
tgdur,6,MIS,-0.03,0.009,1,0.3203301484430458
tgdur,6,MIS,-0.03,0.009,2,0.34374765640253124
tgdur,6,MIS,-0.03,0.009,3,0.34613166391922723
tgdur,6,MIS,-0.03,0.009,4,0.31576985532207535
tgdur,6,MIS,-0.03,0.009,5,0.31164577635973695
tgdur,6,MIS,-0.027,0.009,1,0.4332761416472375
tgdur,6,MIS,-0.027,0.009,2,0.45884501002277445
tgdur,6,MIS,-0.027,0.009,3,0.42954163554952035
tgdur,6,MIS,-0.027,0.009,4,0.42165411388863133
tgdur,6,MIS,-0.027,0.009,5,0.40343648201519006
tgdur,7,MATCH,0,1,1,0.017891292648306113
tgdur,7,MATCH,0,1,2,0.017710864694413114
tgdur,7,MATCH,0,1,3,0.017443605130842626
tgdur,7,MATCH,0,1,4,0.01771764384367604
tgdur,7,MATCH,0,1,5,0.017668890341638748
tgdur,7,MATCH,0,0.1,1,0.1864100330076026
tgdur,7,MATCH,0,0.1,2,0.17238015857955535
tgdur,7,MATCH,0,0.1,3,0.1801764160760305
tgdur,7,MATCH,0,0.1,4,0.19195047867904735
tgdur,7,MATCH,0,0.1,5,0.15898249470425518
tgdur,7,MATCH,0,0.03,1,0.5185277737174139
tgdur,7,MATCH,0,0.03,2,0.49851523306888024
tgdur,7,MATCH,0,0.03,3,0.5081470044059108
tgdur,7,MATCH,0,0.03,4,0.5254259533412998
tgdur,7,MATCH,0,0.03,5,0.5378577682581985
tgdur,7,MATCH,-0.03,0.009,1,0.06643771054963246
tgdur,7,MATCH,-0.03,0.009,2,0.06690473168052664
tgdur,7,MATCH,-0.03,0.009,3,0.06652454126525682
tgdur,7,MATCH,-0.03,0.009,4,0.06697295911808238
tgdur,7,MATCH,-0.03,0.009,5,0.06255783486607712
tgdur,7,MATCH,-0.027,0.009,1,0.09318251067922352
tgdur,7,MATCH,-0.027,0.009,2,0.10055556461686192
tgdur,7,MATCH,-0.027,0.009,3,0.1000195377922386
tgdur,7,MATCH,-0.027,0.009,4,0.10283085508195083
tgdur,7,MATCH,-0.027,0.009,5,0.10297816099785843
tgdur,7,MIS,0,1,1,0.054807818909179296
tgdur,7,MIS,0,1,2,0.054092173377281026
tgdur,7,MIS,0,1,3,0.053115764782601584
tgdur,7,MIS,0,1,4,0.05649064497529776
tgdur,7,MIS,0,1,5,0.054335670727829424
tgdur,7,MIS,0,0.1,1,0.5468698945067377
tgdur,7,MIS,0,0.1,2,0.5655668989122422
tgdur,7,MIS,0,0.1,3,0.5270617011573574
tgdur,7,MIS,0,0.1,4,0.5470121921152895
