region,subj,item,rpdur,tgdur,totfixdur,gbck,gdur,rr,rrdur,quan_cond,typic_cond,interf_cond,subj_cond,obj_cond,cond,quants,typic,interf
6,42,20,210,210,210,2,210,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,42,5,256,256,256,2,256,0,0,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,42,23,512,512,512,2,512,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,45,5,0,0,392,0,0,1,392,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,45,6,180,180,332,2,180,1,152,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,45,32,464,230,230,1,230,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,45,8,0,0,0,0,0,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,45,18,238,238,574,2,238,1,336,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,45,25,0,0,414,0,0,1,414,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,45,11,158,158,158,2,158,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,45,26,170,170,170,2,170,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,45,12,202,202,202,2,202,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,45,9,258,258,258,2,258,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,45,1,514,384,758,1,174,1,584,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,45,21,192,192,478,2,192,1,286,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,45,20,180,180,180,2,180,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,45,7,176,176,820,2,176,1,644,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,45,2,182,182,398,2,182,1,216,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,45,10,198,198,198,2,198,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,45,13,196,196,380,2,196,1,184,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,45,4,186,186,430,2,186,1,244,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,45,16,0,0,172,0,0,1,172,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
6,45,30,194,194,194,2,194,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,45,22,212,212,212,2,212,0,0,EEN,typical,interf,MATCH,MATCH,a,-1,1,1
6,45,15,508,508,508,2,508,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,45,19,196,196,334,2,196,1,138,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,45,3,196,196,196,2,196,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,45,29,0,0,174,0,0,1,174,EEN,atypical,no_interf,MIS,MIS,d,-1,-1,-1
6,45,17,0,0,0,0,0,0,0,GEEN,atypical,no_interf,MIS,MIS,h,1,-1,-1
6,45,31,0,0,0,0,0,0,0,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,45,23,184,184,374,2,184,1,190,GEEN,atypical,interf,MIS,MATCH,g,1,-1,1
6,45,27,160,160,160,2,160,0,0,EEN,atypical,interf,MIS,MATCH,c,-1,-1,1
6,45,28,176,176,176,2,176,0,0,EEN,typical,no_interf,MATCH,MIS,b,-1,1,-1
6,48,26,204,204,204,2,204,0,0,GEEN,typical,interf,MATCH,MATCH,e,1,1,1
6,48,32,0,0,0,0,0,0,0,GEEN,typical,no_interf,MATCH,MIS,f,1,1,-1
